date,open,close,high,low,volume
2017-12-29,8.39,8.42,8.42,8.37,10297794.0
2017-12-28,8.38,8.39,8.45,8.37,13523614.0
2017-12-27,8.45,8.42,8.49,8.35,22151441.0
2017-12-26,8.34,8.46,8.47,8.33,26178665.0
2017-12-25,8.39,8.37,8.46,8.3,18705435.0
2017-12-22,8.39,8.41,8.46,8.37,16266376.0
2017-12-21,8.39,8.39,8.45,8.34,23350543.0
2017-12-20,8.42,8.41,8.44,8.35,21432961.0
2017-12-19,8.35,8.41,8.42,8.33,17865112.0
2017-12-18,8.31,8.33,8.38,8.3,18878088.0
2017-12-15,8.39,8.31,8.39,8.3,24468055.0
2017-12-14,8.46,8.39,8.5,8.37,26091118.0
2017-12-13,8.48,8.5,8.53,8.34,64131353.0
2017-12-12,8.61,8.48,8.62,8.48,25041998.0
2017-12-11,8.6,8.64,8.68,8.52,34285818.0
2017-12-08,8.67,8.62,8.68,8.57,31155459.0
2017-12-07,8.68,8.69,8.71,8.6,30205669.0
2017-12-06,8.81,8.69,8.83,8.64,50658007.0
2017-12-05,8.73,8.84,8.91,8.71,103730756.0
2017-12-04,8.65,8.75,8.81,8.64,41939133.0
2017-12-01,8.65,8.68,8.8,8.6,82427068.0
2017-11-30,8.42,8.64,8.9,8.42,106337409.0
2017-11-29,8.54,8.46,8.56,8.34,36725580.0
2017-11-28,8.6,8.53,8.61,8.49,24807113.0
2017-11-27,8.58,8.61,8.62,8.5,31001940.0
2017-11-24,8.61,8.6,8.68,8.57,40083173.0
2017-11-23,8.77,8.58,8.91,8.53,95949250.0
2017-11-22,8.62,8.83,8.91,8.57,103740646.0
2017-11-21,8.49,8.58,8.67,8.45,70030774.0
2017-11-20,8.27,8.52,8.62,8.24,71620638.0
2017-11-17,8.15,8.33,8.35,8.14,66564007.0
2017-11-16,8.23,8.16,8.26,8.14,22925877.0
2017-11-15,8.26,8.27,8.29,8.23,20344065.0
2017-11-14,8.37,8.27,8.38,8.24,30285785.0
2017-11-13,8.3,8.39,8.46,8.3,36105147.0
2017-11-10,8.38,8.31,8.39,8.27,18968077.0
2017-11-09,8.41,8.39,8.42,8.37,11413539.0
2017-11-08,8.38,8.41,8.46,8.34,22431594.0
2017-11-07,8.3,8.38,8.41,8.29,24286886.0
2017-11-06,8.31,8.29,8.33,8.27,15407519.0
2017-11-03,8.29,8.33,8.35,8.23,27594187.0
2017-11-02,8.35,8.31,8.37,8.23,29453030.0
2017-11-01,8.45,8.37,8.45,8.35,23781350.0
2017-10-31,8.44,8.45,8.46,8.37,23098139.0
2017-10-30,8.61,8.45,8.61,8.44,41034457.0
2017-10-27,8.57,8.6,8.65,8.56,34370296.0
2017-10-26,8.64,8.57,8.64,8.56,36245082.0
2017-10-25,8.67,8.65,8.68,8.61,27525716.0
2017-10-24,8.61,8.68,8.69,8.6,24175032.0
2017-10-23,8.68,8.62,8.68,8.61,16990214.0
2017-10-20,8.64,8.68,8.69,8.61,23733556.0
2017-10-19,8.67,8.68,8.69,8.6,29438876.0
2017-10-18,8.6,8.68,8.69,8.6,28659964.0
2017-10-17,8.65,8.62,8.67,8.58,21148978.0
2017-10-16,8.61,8.65,8.69,8.6,34667377.0
2017-10-13,8.65,8.61,8.67,8.61,22328474.0
2017-10-12,8.69,8.67,8.71,8.65,15020840.0
2017-10-11,8.68,8.69,8.75,8.67,26641473.0
2017-10-10,8.65,8.69,8.71,8.62,20443631.0
2017-10-09,8.76,8.65,8.8,8.64,45621860.0
2017-09-29,8.56,8.56,8.62,8.53,19013364.0
2017-09-28,8.58,8.57,8.61,8.54,18031744.0
2017-09-27,8.61,8.6,8.64,8.58,14946480.0
2017-09-26,8.6,8.62,8.62,8.57,15521969.0
2017-09-25,8.65,8.61,8.65,8.53,36740800.0
2017-09-22,8.68,8.67,8.73,8.61,30231044.0
2017-09-21,8.68,8.71,8.77,8.64,33232952.0
2017-09-20,8.71,8.69,8.71,8.65,16644337.0
2017-09-19,8.68,8.71,8.72,8.67,22805984.0
2017-09-18,8.69,8.69,8.72,8.64,30139320.0
2017-09-15,8.69,8.68,8.71,8.62,34978662.0
2017-09-14,8.75,8.71,8.76,8.67,26946354.0
2017-09-13,8.76,8.73,8.76,8.71,19400510.0
2017-09-12,8.8,8.76,8.8,8.71,54895040.0
2017-09-11,8.86,8.77,8.9,8.76,46973083.0
2017-09-08,8.84,8.83,8.88,8.8,26992084.0
2017-09-07,8.91,8.84,8.92,8.83,25768582.0
2017-09-06,8.95,8.9,8.98,8.87,42912550.0
2017-09-05,8.84,8.98,9.01,8.84,55443232.0
2017-09-04,8.76,8.86,8.86,8.73,31605570.0
2017-09-01,8.86,8.77,8.9,8.76,42819790.0
2017-08-31,8.9,8.87,8.92,8.77,50928079.0
2017-08-30,9.01,8.88,9.06,8.83,59223964.0
2017-08-29,8.94,9.03,9.05,8.88,50396435.0
2017-08-28,8.95,8.96,9.06,8.91,81708012.0
2017-08-25,8.62,8.91,8.92,8.58,106073592.0
2017-08-24,8.72,8.6,8.83,8.6,53997180.0
2017-08-23,8.6,8.76,8.77,8.57,79387866.0
2017-08-22,8.64,8.61,8.67,8.56,31569312.0
2017-08-21,8.56,8.62,8.62,8.56,29132359.0
2017-08-18,8.58,8.57,8.64,8.54,27509751.0
2017-08-17,8.58,8.65,8.67,8.53,34372865.0
2017-08-16,8.64,8.58,8.65,8.54,35547948.0
2017-08-15,8.58,8.69,8.79,8.56,53182615.0
2017-08-14,8.53,8.58,8.6,8.52,26440224.0
2017-08-11,8.71,8.57,8.73,8.46,66194430.0
2017-08-10,8.83,8.76,8.88,8.72,36694927.0
2017-08-09,8.86,8.84,8.9,8.79,28669522.0
2017-08-08,8.83,8.88,8.9,8.79,25776511.0
2017-08-07,8.76,8.83,8.83,8.75,25497781.0
2017-08-04,8.91,8.83,8.94,8.83,43786418.0
2017-08-03,9.14,8.91,9.14,8.87,75923143.0
2017-08-02,9.14,9.15,9.28,9.11,86702570.0
2017-08-01,9.03,9.15,9.17,9.01,74514952.0
2017-07-31,9.06,9.03,9.09,8.96,48223326.0
2017-07-28,9.02,9.06,9.09,8.99,32787138.0
2017-07-27,9.06,9.03,9.13,8.98,46814890.0
2017-07-26,9.13,9.07,9.29,8.99,77009401.0
2017-07-25,9.2,9.15,9.3,9.13,66837931.0
2017-07-24,9.25,9.2,9.28,9.11,77188243.0
2017-07-21,9.27,9.23,9.28,9.14,73294593.0
2017-07-20,9.2,9.31,9.35,9.14,96201853.0
2017-07-19,9.18,9.2,9.41,9.15,118110197.0
2017-07-18,9.24,9.26,9.29,9.02,110222886.0
2017-07-17,8.82,9.33,9.68,8.66,260554365.0
2017-07-14,8.64,8.79,8.85,8.56,117677411.0
2017-07-13,8.41,8.61,8.64,8.4,82428475.0
2017-07-12,8.31,8.46,8.73,8.31,119340070.0
2017-07-11,8.16,8.32,8.4,8.15,88121658.0
2017-07-10,8.16,8.16,8.2,8.15,35355774.0
2017-07-07,8.18,8.18,8.2,8.15,26950677.0
2017-07-06,8.23,8.19,8.23,8.16,30961234.0
2017-07-05,8.16,8.23,8.24,8.14,25662903.0
2017-07-04,8.23,8.16,8.24,8.14,47666458.0
2017-07-03,8.25,8.24,8.28,8.19,25392558.0
2017-06-30,8.25,8.28,8.29,8.2,24612995.0
2017-06-29,8.29,8.29,8.32,8.24,28420166.0
2017-06-28,8.25,8.31,8.4,8.2,52184882.0
2017-06-27,8.2,8.27,8.28,8.16,35513966.0
2017-06-26,8.15,8.23,8.27,8.15,48206994.0
2017-06-23,8.1,8.18,8.18,8.04,40547638.0
2017-06-22,8.07,8.12,8.24,8.04,78846431.0
2017-06-21,8.07,8.07,8.08,8.02,22906381.0
2017-06-20,8.1,8.06,8.12,8.02,26544348.0
2017-06-19,8.06,8.1,8.11,8.03,25175470.0
2017-06-16,8.03,8.04,8.08,8.0,25870723.0
2017-06-15,8.03,8.04,8.08,7.99,24739055.0
2017-06-14,8.04,8.03,8.06,7.99,20019549.0
2017-06-13,8.04,8.06,8.07,8.02,23786418.0
2017-06-12,8.11,8.07,8.2,8.03,37309203.0
2017-06-09,8.04,8.12,8.2,8.03,68940261.0
2017-06-08,8.03,8.04,8.07,7.98,30161116.0
2017-06-07,8.0,8.04,8.1,7.99,45419050.0
2017-06-06,7.95,8.02,8.03,7.95,22146927.0
2017-06-05,8.02,7.98,8.04,7.95,37382738.0
2017-06-02,8.11,8.04,8.15,8.02,62165283.0
2017-06-01,8.11,8.15,8.16,8.0,54506993.0
2017-05-31,8.1,8.15,8.21,8.08,44684875.0
2017-05-26,8.12,8.14,8.18,8.07,49802286.0
2017-05-25,7.83,8.16,8.25,7.82,107227333.0
2017-05-24,7.89,7.89,7.95,7.81,30324746.0
2017-05-23,7.75,7.91,7.96,7.74,45462767.0
2017-05-22,7.83,7.75,7.86,7.71,21933273.0
2017-05-19,7.79,7.82,7.85,7.77,15262226.0
2017-05-18,7.87,7.81,7.91,7.77,25320992.0
2017-05-17,7.98,7.91,7.98,7.88,23259714.0
2017-05-16,7.96,7.98,7.99,7.88,37601467.0
2017-05-15,8.07,7.99,8.14,7.98,39337576.0
2017-05-12,7.85,8.08,8.1,7.82,63724716.0
2017-05-11,7.71,7.86,7.87,7.7,41839017.0
2017-05-10,7.74,7.75,7.87,7.71,45033412.0
2017-05-09,7.73,7.75,7.77,7.69,19584857.0
2017-05-08,7.67,7.73,7.75,7.65,28293010.0
2017-05-05,7.7,7.69,7.71,7.62,29776701.0
2017-05-04,7.77,7.73,7.78,7.66,38672243.0
2017-05-03,7.86,7.78,7.86,7.77,23738285.0
