date,open,close,high,low,volume
2017-12-29,10.2,10.26,10.28,10.18,53546113.0
2017-12-28,10.26,10.18,10.26,10.18,71766350.0
2017-12-27,10.3,10.28,10.33,10.18,76234971.0
2017-12-26,10.23,10.3,10.31,10.21,61030879.0
2017-12-25,10.25,10.25,10.35,10.23,49422372.0
2017-12-22,10.3,10.26,10.31,10.26,31242398.0
2017-12-21,10.28,10.28,10.36,10.25,53508803.0
2017-12-20,10.31,10.33,10.35,10.21,63097216.0
2017-12-19,10.2,10.31,10.31,10.18,50430750.0
2017-12-18,10.21,10.2,10.26,10.18,49118474.0
2017-12-15,10.36,10.21,10.38,10.21,73558579.0
2017-12-14,10.43,10.38,10.49,10.35,51075351.0
2017-12-13,10.41,10.43,10.48,10.36,47097715.0
2017-12-12,10.46,10.41,10.49,10.4,42179603.0
2017-12-11,10.51,10.46,10.51,10.43,59683492.0
2017-12-08,10.59,10.51,10.63,10.48,73636351.0
2017-12-07,10.59,10.63,10.66,10.51,93915576.0
2017-12-06,10.66,10.63,10.73,10.59,113030793.0
2017-12-05,10.46,10.69,10.76,10.46,228990441.0
2017-12-04,10.43,10.46,10.51,10.41,56154677.0
2017-12-01,10.46,10.45,10.54,10.43,72362364.0
2017-11-30,10.4,10.43,10.54,10.38,76055647.0
2017-11-29,10.48,10.41,10.49,10.33,72684788.0
2017-11-28,10.51,10.46,10.53,10.45,73991392.0
2017-11-27,10.51,10.54,10.56,10.4,151845767.0
2017-11-24,10.49,10.53,10.61,10.45,115617285.0
2017-11-23,10.53,10.51,10.71,10.45,246848890.0
2017-11-22,10.33,10.53,10.63,10.31,221479655.0
2017-11-21,10.25,10.31,10.4,10.2,183311589.0
2017-11-20,10.25,10.26,10.31,10.15,149405710.0
2017-11-17,10.0,10.28,10.33,9.98,266290819.0
2017-11-16,10.05,10.0,10.05,9.97,59453325.0
2017-11-15,10.05,10.03,10.07,9.98,65914858.0
2017-11-14,10.12,10.05,10.13,10.02,107410808.0
2017-11-13,10.12,10.13,10.23,10.1,138115763.0
2017-11-10,10.18,10.1,10.2,10.08,122418268.0
2017-11-09,10.28,10.2,10.3,10.18,82711689.0
2017-11-08,10.26,10.28,10.33,10.23,101928666.0
2017-11-07,10.2,10.26,10.3,10.16,113704370.0
2017-11-06,10.23,10.18,10.25,10.16,59431878.0
2017-11-03,10.2,10.25,10.28,10.15,119308174.0
2017-11-02,10.2,10.21,10.23,10.12,75341489.0
2017-11-01,10.28,10.2,10.3,10.18,95540013.0
2017-10-31,10.31,10.28,10.35,10.26,64296760.0
2017-10-30,10.41,10.35,10.43,10.28,103298220.0
2017-10-27,10.33,10.38,10.45,10.3,93019416.0
2017-10-26,10.45,10.33,10.46,10.3,116971040.0
2017-10-25,10.49,10.45,10.53,10.43,55422523.0
2017-10-24,10.46,10.49,10.54,10.43,73334977.0
2017-10-23,10.49,10.45,10.51,10.45,55465154.0
2017-10-20,10.53,10.51,10.54,10.48,37814504.0
2017-10-19,10.49,10.56,10.58,10.46,93804149.0
2017-10-18,10.43,10.49,10.51,10.41,91529799.0
2017-10-17,10.48,10.41,10.49,10.4,63941570.0
2017-10-16,10.46,10.49,10.49,10.43,62729412.0
2017-10-13,10.46,10.43,10.51,10.43,64470963.0
2017-10-12,10.53,10.45,10.56,10.43,71199474.0
2017-10-11,10.56,10.54,10.59,10.48,80255969.0
2017-10-10,10.46,10.54,10.58,10.45,79942332.0
2017-10-09,10.71,10.45,10.78,10.43,176870345.0
2017-09-29,10.45,10.45,10.51,10.43,52691422.0
2017-09-28,10.46,10.46,10.49,10.4,66852153.0
2017-09-27,10.53,10.48,10.56,10.46,77148282.0
2017-09-26,10.56,10.56,10.58,10.49,84697516.0
2017-09-25,10.49,10.58,10.61,10.46,117485025.0
2017-09-22,10.46,10.49,10.54,10.43,94034923.0
2017-09-21,10.41,10.48,10.53,10.38,88186346.0
2017-09-20,10.45,10.4,10.49,10.38,73092069.0
2017-09-19,10.46,10.46,10.49,10.33,129783798.0
2017-09-18,10.53,10.45,10.56,10.41,87718232.0
2017-09-15,10.51,10.49,10.53,10.41,66916238.0
2017-09-14,10.66,10.53,10.71,10.49,79248896.0
2017-09-13,10.71,10.66,10.73,10.66,47188857.0
2017-09-12,10.76,10.74,10.78,10.66,66138835.0
2017-09-11,10.74,10.71,10.81,10.69,80656152.0
2017-09-08,10.74,10.69,10.81,10.68,60180148.0
2017-09-07,10.81,10.78,10.89,10.76,52145048.0
2017-09-06,10.86,10.81,10.94,10.74,65920367.0
2017-09-05,10.84,10.88,10.99,10.79,98077744.0
2017-09-04,10.64,10.79,10.86,10.64,77797513.0
2017-09-01,10.86,10.74,10.91,10.66,110135612.0
2017-08-31,11.02,10.88,11.04,10.74,138646312.0
2017-08-30,11.01,10.99,11.22,10.94,149442612.0
2017-08-29,11.02,11.01,11.09,10.94,97959221.0
2017-08-28,10.99,11.07,11.21,10.94,277323209.0
2017-08-25,10.38,10.94,10.96,10.38,322610892.0
2017-08-24,10.4,10.36,10.51,10.35,80990403.0
2017-08-23,10.31,10.41,10.45,10.3,86926012.0
2017-08-22,10.31,10.31,10.33,10.26,52300412.0
2017-08-21,10.33,10.3,10.36,10.28,50629749.0
2017-08-18,10.3,10.31,10.35,10.26,42479764.0
2017-08-17,10.31,10.35,10.36,10.28,41646844.0
2017-08-16,10.35,10.3,10.4,10.26,53819027.0
2017-08-15,10.31,10.38,10.48,10.3,91153405.0
2017-08-14,10.31,10.3,10.38,10.26,93972210.0
2017-08-11,10.31,10.4,10.43,10.12,163785643.0
2017-08-10,10.45,10.38,10.49,10.28,87940991.0
2017-08-09,10.59,10.45,10.61,10.43,77804481.0
2017-08-08,10.66,10.63,10.68,10.58,62925995.0
2017-08-07,10.69,10.69,10.73,10.56,73518573.0
