date,open,close,high,low,volume
2017-12-29,9.99,10.11,10.14,9.98,216899773.0
2017-12-28,9.83,10.01,10.01,9.81,210088644.0
2017-12-27,9.93,9.86,10.03,9.81,215140064.0
2017-12-26,9.78,9.91,9.95,9.75,216532909.0
2017-12-25,9.67,9.78,9.83,9.67,239636448.0
2017-12-22,9.73,9.65,9.75,9.65,118660402.0
2017-12-21,9.73,9.72,9.77,9.69,146581853.0
2017-12-20,9.77,9.73,9.83,9.69,190041016.0
2017-12-19,9.62,9.75,9.78,9.6,272821569.0
2017-12-18,9.55,9.65,9.65,9.54,167000651.0
2017-12-15,9.59,9.54,9.6,9.51,116848154.0
2017-12-14,9.62,9.6,9.73,9.59,146937837.0
2017-12-13,9.54,9.62,9.64,9.47,166940195.0
2017-12-12,9.59,9.52,9.6,9.51,122770430.0
2017-12-11,9.59,9.6,9.6,9.49,175362071.0
2017-12-08,9.59,9.59,9.62,9.55,155417340.0
2017-12-07,9.69,9.62,9.72,9.54,164665992.0
2017-12-06,9.75,9.73,9.78,9.64,205195359.0
2017-12-05,9.6,9.78,9.85,9.57,364860379.0
2017-12-04,9.57,9.6,9.65,9.52,148633125.0
2017-12-01,9.64,9.6,9.64,9.55,163447622.0
2017-11-30,9.65,9.65,9.67,9.57,164818756.0
2017-11-29,9.69,9.65,9.77,9.59,185199903.0
2017-11-28,9.7,9.65,9.73,9.6,199104727.0
2017-11-27,9.85,9.75,9.85,9.65,332282332.0
2017-11-24,9.96,9.9,9.99,9.75,306449138.0
2017-11-23,10.16,9.98,10.29,9.88,372566390.0
2017-11-22,10.01,10.16,10.26,10.01,431869596.0
2017-11-21,9.91,9.98,10.06,9.85,417291209.0
2017-11-20,9.8,9.96,10.01,9.75,379993825.0
2017-11-17,9.55,9.83,9.85,9.55,409505367.0
2017-11-16,9.6,9.54,9.64,9.49,214623274.0
2017-11-15,9.59,9.64,9.7,9.55,169395753.0
2017-11-14,9.72,9.64,9.75,9.59,191109921.0
2017-11-13,9.52,9.72,9.75,9.51,406579575.0
2017-11-10,9.7,9.49,9.7,9.47,418466273.0
2017-11-09,9.81,9.69,9.83,9.69,271419866.0
2017-11-08,9.88,9.85,9.93,9.78,310705352.0
2017-11-07,9.83,9.9,9.95,9.78,342152972.0
2017-11-06,9.88,9.86,9.91,9.78,159651203.0
2017-11-03,9.9,9.95,9.96,9.8,210266136.0
2017-11-02,9.93,9.93,9.95,9.77,204958070.0
2017-11-01,9.96,9.93,9.99,9.88,209096869.0
2017-10-31,10.17,9.95,10.19,9.93,202807487.0
2017-10-30,10.08,10.19,10.24,10.03,263233902.0
2017-10-27,9.86,10.09,10.21,9.81,456396456.0
2017-10-26,10.01,9.86,10.03,9.85,364883204.0
2017-10-25,10.12,10.04,10.16,9.99,165866636.0
2017-10-24,10.09,10.16,10.19,10.08,156380629.0
2017-10-23,10.17,10.09,10.26,10.06,154687848.0
2017-10-20,10.3,10.17,10.32,10.16,144158795.0
2017-10-19,10.19,10.34,10.44,10.17,225511382.0
2017-10-18,10.06,10.24,10.26,9.99,259896911.0
2017-10-17,10.09,10.03,10.14,10.01,145514380.0
2017-10-16,9.98,10.12,10.14,9.95,179952145.0
2017-10-13,10.11,10.01,10.14,9.99,153843698.0
2017-10-12,10.08,10.12,10.17,10.06,129540549.0
2017-10-11,9.96,10.11,10.17,9.96,196126953.0
2017-10-10,9.93,10.01,10.09,9.77,316079890.0
2017-10-09,10.22,9.95,10.32,9.81,414399190.0
2017-09-29,9.85,9.78,9.88,9.72,137529592.0
2017-09-28,9.78,9.86,9.88,9.7,140886800.0
2017-09-27,9.86,9.81,9.88,9.75,170251744.0
2017-09-26,9.93,9.9,9.99,9.9,129564418.0
2017-09-25,9.7,9.96,10.01,9.7,208888584.0
2017-09-22,9.69,9.75,9.86,9.67,175178547.0
2017-09-21,9.42,9.7,9.72,9.41,239030148.0
2017-09-20,9.38,9.44,9.47,9.33,120030200.0
2017-09-19,9.38,9.42,9.44,9.24,212680945.0
2017-09-18,9.46,9.39,9.47,9.34,127689033.0
2017-09-15,9.55,9.41,9.55,9.38,202403542.0
2017-09-14,9.65,9.59,9.73,9.55,176281176.0
2017-09-13,9.64,9.67,9.72,9.62,121844498.0
2017-09-12,9.59,9.67,9.69,9.51,144631718.0
2017-09-11,9.65,9.6,9.75,9.59,175642889.0
2017-09-08,9.57,9.62,9.69,9.54,108732818.0
2017-09-07,9.62,9.59,9.64,9.52,115894472.0
2017-09-06,9.67,9.62,9.73,9.59,123343230.0
2017-09-05,9.57,9.7,9.78,9.55,233924165.0
2017-09-04,9.41,9.59,9.6,9.39,211666394.0
2017-09-01,9.55,9.44,9.65,9.39,339965742.0
2017-08-31,9.7,9.62,9.75,9.52,253155276.0
2017-08-30,9.91,9.73,9.96,9.6,262925061.0
2017-08-29,9.83,9.91,9.91,9.75,171271879.0
2017-08-28,10.01,9.86,10.08,9.78,350736230.0
2017-08-25,9.62,10.04,10.08,9.62,271353319.0
2017-08-24,9.59,9.65,9.7,9.51,148216336.0
2017-08-23,9.26,9.54,9.55,9.24,202140259.0
2017-08-22,9.16,9.28,9.29,9.13,86319066.0
2017-08-21,9.11,9.18,9.21,9.06,74464483.0
2017-08-18,9.11,9.16,9.23,9.05,91504708.0
2017-08-17,9.18,9.16,9.23,9.1,60567130.0
2017-08-16,9.15,9.18,9.29,9.05,145172010.0
2017-08-15,8.95,9.15,9.29,8.95,260186392.0
2017-08-14,8.97,8.95,9.05,8.87,146266383.0
2017-08-11,8.9,9.05,9.08,8.79,222530160.0
2017-08-10,9.03,9.0,9.08,8.85,155640428.0
2017-08-09,9.21,9.03,9.24,9.0,138563730.0
2017-08-08,9.18,9.26,9.31,9.06,118299803.0
2017-08-07,9.2,9.23,9.26,9.06,110553683.0
2017-08-04,9.18,9.24,9.26,9.15,113675380.0
2017-08-03,9.29,9.23,9.42,9.15,160567260.0
2017-08-02,9.06,9.29,9.29,9.05,220963054.0
2017-08-01,8.98,9.06,9.06,8.98,139179506.0
2017-07-31,9.02,8.98,9.11,8.97,122622128.0
2017-07-28,8.98,9.05,9.13,8.84,147287262.0
2017-07-27,9.08,9.02,9.11,8.94,182652326.0
2017-07-26,8.94,9.13,9.23,8.9,224449400.0
2017-07-25,8.8,8.94,9.1,8.8,244455684.0
2017-07-24,8.67,8.79,8.87,8.67,171122778.0
2017-07-21,8.61,8.69,8.74,8.59,126338183.0
2017-07-20,8.59,8.62,8.64,8.51,175480490.0
2017-07-19,8.59,8.59,8.72,8.53,240727881.0
2017-07-18,8.62,8.61,8.77,8.56,184737254.0
2017-07-17,8.46,8.71,8.76,8.43,317888285.0
2017-07-14,8.43,8.43,8.46,8.38,91906757.0
2017-07-13,8.31,8.41,8.46,8.3,210364710.0
2017-07-12,8.25,8.28,8.4,8.23,219835288.0
