date,open,close,high,low,volume
2017-12-29,133.67,135.49,135.58,133.58,32904289.0
2017-12-28,134.23,133.67,135.02,132.83,42120227.0
2017-12-27,137.73,134.28,139.04,133.44,63393214.0
2017-12-26,136.43,138.71,139.13,136.38,61399980.0
2017-12-25,136.28,136.75,139.93,135.96,60107575.0
2017-12-22,137.78,136.75,138.39,136.15,44313847.0
2017-12-21,137.12,138.39,140.07,136.33,56738026.0
2017-12-20,137.31,137.59,138.9,135.77,55439985.0
2017-12-19,132.92,137.08,137.73,132.32,77123200.0
2017-12-18,131.2,132.27,133.11,130.96,37389497.0
2017-12-15,133.39,131.01,133.53,130.73,48806521.0
2017-12-14,133.2,133.67,135.4,132.83,52939187.0
2017-12-13,132.36,133.53,134.37,130.5,53615880.0
2017-12-12,134.0,132.36,135.72,132.27,55109715.0
2017-12-11,132.78,135.07,135.4,130.54,79743013.0
2017-12-08,131.29,133.16,133.44,130.31,52147804.0
2017-12-07,134.0,131.9,135.72,130.03,65215249.0
2017-12-06,137.03,135.07,137.03,133.11,55265542.0
2017-12-05,134.09,137.69,138.15,134.09,88452920.0
2017-12-04,132.74,134.09,135.72,132.69,41607547.0
2017-12-01,135.35,133.58,135.91,132.36,67577561.0
2017-11-30,136.89,135.35,137.54,134.18,50183802.0
2017-11-29,136.84,138.01,138.62,134.51,58019644.0
2017-11-28,137.54,136.28,138.81,134.93,61627096.0
2017-11-27,139.41,139.51,139.83,134.84,98541100.0
2017-11-24,141.23,140.49,143.75,138.34,81263787.0
2017-11-23,143.8,140.07,145.34,137.73,89079547.0
2017-11-22,142.59,144.27,147.82,142.59,97579050.0
2017-11-21,141.47,141.75,146.14,140.44,111984633.0
2017-11-20,137.17,142.54,143.33,135.82,130959008.0
2017-11-17,132.13,137.17,137.73,132.13,155197518.0
2017-11-16,129.65,131.19,131.34,128.35,67948860.0
2017-11-15,129.75,130.17,132.13,128.91,69036414.0
2017-11-14,129.56,130.82,132.04,129.23,84449909.0
2017-11-13,126.57,129.19,132.36,126.57,136763738.0
2017-11-10,125.64,126.39,127.09,124.14,70010839.0
2017-11-09,126.01,126.39,128.25,125.31,35153936.0
2017-11-08,126.06,126.48,128.07,125.13,72048087.0
2017-11-07,124.19,126.2,127.27,123.86,73061456.0
2017-11-06,125.59,124.24,125.78,122.65,69959123.0
2017-11-03,125.97,126.34,126.81,124.24,68086907.0
2017-11-02,125.12,126.11,126.15,124.66,36239453.0
2017-11-01,126.57,125.59,126.9,124.42,69513733.0
2017-10-31,128.39,126.53,128.86,125.64,62417334.0
2017-10-30,130.03,129.75,131.01,128.44,103998076.0
2017-10-27,124.56,131.19,131.38,124.56,122858298.0
2017-10-26,124.47,123.96,126.99,123.35,68850233.0
2017-10-25,124.05,125.13,125.55,123.26,33931969.0
2017-10-24,123.82,124.28,125.27,123.31,37077931.0
2017-10-23,124.98,123.72,125.55,123.58,34731342.0
2017-10-20,125.87,124.98,126.39,124.66,28130262.0
2017-10-19,126.81,126.53,127.46,125.69,40809614.0
2017-10-18,126.34,126.57,127.41,125.64,38327777.0
2017-10-17,124.66,126.2,127.6,124.56,58293941.0
2017-10-16,122.74,125.45,125.83,122.32,70703152.0
2017-10-13,123.12,122.32,123.96,122.14,32734325.0
2017-10-12,122.04,123.12,123.96,121.58,47842207.0
2017-10-11,121.62,121.58,122.56,120.97,48399977.0
2017-10-10,121.62,121.95,123.96,118.68,105250662.0
2017-10-09,125.12,121.76,126.01,120.88,100296537.0
2017-09-29,117.66,119.29,120.36,117.33,47164183.0
2017-09-28,118.96,117.66,119.01,117.28,34723219.0
2017-09-27,119.85,118.59,120.22,118.22,33779155.0
2017-09-26,120.04,120.04,120.92,119.71,22468076.0
2017-09-25,120.74,120.5,121.95,119.99,32006496.0
2017-09-22,120.92,121.16,122.7,120.6,28030992.0
2017-09-21,121.16,121.67,122.74,120.69,40927253.0
2017-09-20,121.9,120.88,122.88,120.55,51785947.0
2017-09-19,120.41,122.18,122.56,119.94,47274118.0
2017-09-18,121.25,120.27,121.86,119.94,51107728.0
2017-09-15,120.22,121.25,121.76,119.48,32786267.0
2017-09-14,122.23,120.74,122.56,119.76,47223452.0
2017-09-13,123.44,122.18,123.63,121.62,32866866.0
2017-09-12,122.7,123.44,123.68,121.2,42620226.0
2017-09-11,124.19,122.23,125.55,121.95,46759279.0
2017-09-08,123.07,123.17,124.19,122.74,29097213.0
2017-09-07,125.59,123.02,125.59,122.84,46675659.0
2017-09-06,127.37,125.45,127.37,125.03,32948666.0
2017-09-05,125.59,127.65,127.79,124.84,40573290.0
2017-09-04,123.91,125.87,126.01,123.35,35631693.0
2017-09-01,124.84,124.94,126.9,123.86,47974643.0
2017-08-31,126.81,124.89,127.37,123.3,59081038.0
2017-08-30,127.88,126.81,130.54,125.92,47205569.0
2017-08-29,127.27,126.71,128.21,126.34,32870241.0
2017-08-28,128.77,127.18,130.26,126.11,54746121.0
2017-08-25,125.12,128.53,128.77,125.12,66092014.0
2017-08-24,123.72,124.61,125.31,122.37,46161550.0
2017-08-23,121.3,123.82,125.27,120.6,60736801.0
2017-08-22,118.68,120.88,121.06,117.56,50287937.0
2017-08-21,118.68,118.12,119.15,116.95,31525364.0
2017-08-18,116.3,118.68,119.48,115.79,39734426.0
2017-08-17,117.61,117.0,118.12,116.02,32146044.0
2017-08-16,118.64,117.52,118.92,116.81,29782847.0
2017-08-15,115.79,119.2,120.74,115.69,53690010.0
2017-08-14,114.85,115.79,116.16,113.22,53594772.0
2017-08-11,116.58,114.34,117.94,114.11,52173238.0
2017-08-10,118.92,117.38,120.18,116.63,46465133.0
2017-08-09,120.36,119.24,121.76,119.1,29248590.0
2017-08-08,120.92,120.69,121.67,119.8,22046346.0
2017-08-07,118.59,121.3,121.86,118.59,30913583.0
2017-08-04,120.78,119.15,121.86,118.22,48927096.0
2017-08-03,123.82,120.88,124.47,120.64,51028609.0
2017-08-02,121.95,124.28,126.43,121.48,60628359.0
2017-08-01,119.43,122.04,122.09,118.36,47806569.0
2017-07-31,119.71,119.38,121.16,118.5,34195965.0
2017-07-28,120.32,120.36,121.39,119.06,28036197.0
2017-07-27,118.96,120.92,122.18,118.59,43453232.0
2017-07-26,119.15,118.87,121.58,117.47,46334311.0
2017-07-25,120.46,119.2,122.51,118.59,74394506.0
2017-07-24,115.65,120.04,120.27,115.18,62592201.0
2017-07-21,117.09,115.51,118.4,115.04,32764747.0
2017-07-20,117.19,117.66,117.89,115.79,51433744.0
2017-07-19,114.11,117.75,118.45,113.92,63077091.0
2017-07-18,116.25,114.48,117.0,112.24,64534655.0
2017-07-17,117.19,117.23,119.76,115.51,70928750.0
2017-07-14,116.67,117.56,118.64,115.51,50806029.0
2017-07-13,113.64,116.25,116.95,113.03,55940416.0
2017-07-12,112.52,113.64,117.05,111.82,85800391.0
2017-07-11,108.46,112.43,113.83,108.13,73038307.0
2017-07-10,108.88,108.6,110.09,107.62,37203437.0
2017-07-07,111.12,108.6,111.59,107.62,63217985.0
2017-07-06,110.7,111.87,112.71,109.25,62433300.0
2017-07-05,107.29,111.59,112.29,106.68,78399696.0
2017-07-04,109.77,107.38,110.19,106.54,57363680.0
2017-07-03,111.12,109.81,111.12,108.92,41623871.0
2017-06-30,112.05,111.54,112.89,110.65,40698820.0
2017-06-29,112.05,112.75,113.64,110.51,59421356.0
2017-06-28,112.57,111.12,114.29,111.12,73712967.0
2017-06-27,107.1,113.73,114.76,106.12,107584636.0
2017-06-26,107.76,107.57,111.63,107.34,88995783.0
2017-06-23,105.56,107.52,107.76,104.02,94120881.0
2017-06-22,99.21,106.12,108.46,98.98,152388802.0
2017-06-21,99.4,99.49,99.68,97.3,50786321.0
2017-06-20,99.45,98.42,100.57,97.67,53216817.0
2017-06-19,97.67,98.79,99.45,97.25,54663330.0
2017-06-16,97.63,97.16,98.47,96.83,53191074.0
2017-06-15,99.45,97.72,101.03,97.58,67537281.0
2017-06-14,101.55,99.45,102.06,99.07,51801561.0
2017-06-13,103.33,101.48,103.69,100.62,54260816.0
2017-06-12,103.06,103.06,104.95,102.24,55565434.0
2017-06-09,102.65,103.37,105.13,102.06,83753301.0
2017-06-08,100.84,102.61,102.79,99.18,74865798.0
2017-06-07,99.36,101.61,101.88,99.04,96496305.0
2017-06-06,99.27,98.95,99.85,97.73,54884450.0
2017-06-05,98.95,99.18,100.03,97.46,65026549.0
2017-06-02,102.42,99.99,102.65,99.58,51019453.0
2017-06-01,100.75,101.93,102.2,100.3,78092238.0
2017-05-31,101.3,101.16,103.6,100.08,73975517.0
2017-05-26,103.73,102.15,104.05,101.25,78505419.0
2017-05-25,98.41,103.55,103.82,98.36,106667813.0
2017-05-24,98.45,98.86,100.44,97.19,74150674.0
2017-05-23,94.21,98.5,99.27,94.21,95034429.0
2017-05-22,92.32,94.26,95.43,92.32,57888523.0
2017-05-19,91.01,92.63,92.9,90.74,39179460.0
2017-05-18,90.29,91.37,91.69,90.29,36345421.0
2017-05-17,91.87,91.1,92.63,90.51,59693502.0
2017-05-16,92.72,92.45,93.58,91.78,64731794.0
2017-05-15,92.27,93.27,95.2,92.14,83559057.0
2017-05-12,86.86,91.78,91.96,86.59,122392416.0
2017-05-11,86.14,86.9,87.76,85.73,47193321.0
2017-05-10,85.05,85.82,86.54,84.87,42066330.0
2017-05-09,84.83,84.78,85.05,84.56,14905601.0
2017-05-08,84.24,84.78,85.1,84.15,42998487.0
2017-05-05,84.78,84.83,85.01,83.65,34318443.0
2017-05-04,85.5,84.6,85.59,84.2,39673390.0
2017-05-03,85.69,85.41,85.86,85.05,18057905.0
2017-05-02,86.36,85.78,86.68,85.46,27786907.0
2017-04-28,86.18,86.32,86.81,85.78,49459693.0
2017-04-27,85.78,85.64,86.09,84.96,34557480.0
2017-04-26,85.59,86.23,86.54,85.32,42419144.0
2017-04-25,85.5,85.55,86.0,84.74,40879001.0
2017-04-24,85.23,85.32,85.78,84.83,37143301.0
2017-04-21,83.47,84.83,85.41,82.98,49743044.0
2017-04-20,83.88,82.98,83.92,82.93,28367769.0
2017-04-19,83.83,83.29,84.6,83.02,30928072.0
2017-04-18,84.83,83.92,85.05,83.92,31585792.0
2017-04-17,84.69,85.19,85.28,83.92,40758304.0
2017-04-14,85.32,84.92,85.46,84.15,30142700.0
2017-04-13,85.91,85.37,85.95,85.05,26704897.0
2017-04-12,85.82,85.95,86.27,85.28,32143538.0
2017-04-11,85.32,85.82,85.95,85.19,39407570.0
2017-04-10,85.41,85.32,85.59,84.38,32313532.0
2017-04-07,85.95,85.23,86.09,84.92,44034033.0
2017-04-06,85.95,85.91,86.23,85.41,34096737.0
2017-04-05,86.72,86.05,87.04,85.78,48602592.0
2017-03-31,85.82,86.5,86.86,85.82,33962346.0
2017-03-30,86.14,85.82,86.41,85.55,25726855.0
2017-03-29,85.69,86.14,86.45,85.64,44934719.0
2017-03-28,86.86,85.59,87.13,85.32,42027343.0
2017-03-27,84.78,86.18,87.17,84.78,80019192.0
2017-03-24,84.69,84.74,84.78,84.06,32781646.0
2017-03-23,83.56,84.11,84.87,83.38,40943140.0
2017-03-22,84.56,83.56,84.6,83.38,46907976.0
2017-03-21,84.6,84.65,84.96,84.15,40184805.0
2017-03-20,85.23,84.65,85.5,83.97,33463011.0
2017-03-17,86.5,84.87,86.68,84.74,35535357.0
2017-03-16,86.18,86.0,86.86,85.82,31185472.0
2017-03-15,86.18,85.78,86.32,85.55,21828414.0
2017-03-14,85.91,86.18,86.59,85.82,18159274.0
2017-03-13,85.23,85.86,85.95,84.87,17056107.0
2017-03-10,85.82,85.32,85.95,84.96,20905258.0
2017-03-09,86.86,85.95,86.86,85.37,23195322.0
2017-03-08,86.27,87.04,87.31,86.09,19486576.0
2017-03-07,86.18,86.81,87.04,85.59,25247832.0
2017-03-06,85.78,86.0,87.49,85.73,23808114.0
2017-03-03,86.05,85.78,86.5,85.5,16972146.0
2017-03-02,87.44,86.18,87.76,86.05,24151335.0
2017-03-01,87.76,87.26,88.03,86.99,23983933.0
2017-02-28,87.53,87.72,88.35,87.35,16595374.0
2017-02-27,87.44,87.58,88.3,86.9,25452155.0
2017-02-24,87.44,87.67,87.99,86.95,20702260.0
2017-02-23,87.58,87.44,87.72,86.95,15656602.0
2017-02-22,87.67,87.53,88.3,87.08,22550262.0
2017-02-21,87.67,87.58,89.39,87.49,30056784.0
2017-02-20,85.86,87.53,87.99,85.64,44635085.0
2017-02-17,86.59,85.82,86.77,85.64,17980608.0
2017-02-16,86.59,86.32,87.26,85.91,35223424.0
2017-02-15,85.59,86.32,86.77,85.28,59684478.0
2017-02-14,85.73,85.14,85.86,84.87,23787741.0
2017-02-13,85.28,85.59,86.14,85.23,25330996.0
2017-02-10,85.1,85.28,85.59,84.51,39642813.0
2017-02-09,83.88,84.51,85.41,83.88,22249868.0
2017-02-08,83.7,83.92,83.92,83.38,19710326.0
2017-02-07,84.06,83.79,84.29,83.7,22941249.0
